401,Melocones,301,25505,19,30351
402,Manzanas,303,18108,19,21549
403,Plátanos,304,29681,19,35320
404,Lechuga,303,29788,19,35448
405,Tomates,301,12739,19,15159
406,Calabaza,301,21315,19,25365
407,Apio,302,19249,19,22906
408,Pepino,302,10958,19,13040
409,Champiñones,302,11046,19,13145
410,Leche,305,21150,19,25169
411,Queso,305,26571,19,31619
412,Huevos,302,26571,19,31619
413,Requesón,301,14329,19,17052
414,Crema Agria,301,14856,19,17679
415,Yogur,305,14941,19,17780
416,Ternera,305,29355,19,34909
417,Salmón Salvaje,305,11878,19,14135
418,Patas de Cangrego,301,29951,19,35642
